epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.086,1.43087,2.17765,1.43992,0.76884,0.19321,0.43695,0.25478,1.35637,2.57998,1.43236,0.000364455,0.000364455,0.000364455
2,499.665,1.36917,1.31667,1.35813,0.75309,0.54624,0.61341,0.34232,1.40957,1.54562,1.46154,0.000492308,0.000492308,0.000492308
3,742.735,1.30864,1.17856,1.30982,0.80002,0.62882,0.69141,0.39862,1.35646,1.18157,1.43351,0.000375741,0.000375741,0.000375741
